market,group,model,alpha,n,breaches,breach_rate,expected,mean_VaR,kupiec_p,christ_ind_p,cc_p,es_p,verdict
Sensex,emerging,historical,0.05,4411,210,0.0476,0.05,-0.01844,0.4627,0.0005,0.0017,0.1726,coverage OK  | independence BAD | conditional BAD
Sensex,emerging,hmm_regime,0.05,4411,138,0.0313,0.05,-0.02118,0.0,0.7408,0.0,0.1341,coverage BAD | independence OK  | conditional BAD
Sensex,emerging,student_t,0.05,4411,230,0.0521,0.05,-0.01793,0.5167,0.0,0.0001,0.3739,coverage OK  | independence BAD | conditional BAD
Bovespa,emerging,fhs_garch,0.01,4449,54,0.0121,0.01,-0.03485,0.1656,0.689,0.353,0.2854,coverage OK  | independence OK  | conditional OK 
Bovespa,emerging,gaussian,0.01,4449,69,0.0155,0.01,-0.03662,0.0006,0.0046,0.0001,0.0002,coverage BAD | independence BAD | conditional BAD
Bovespa,emerging,historical,0.01,4449,55,0.0124,0.01,-0.04059,0.1267,0.0048,0.0058,0.0474,coverage OK  | independence BAD | conditional BAD
Bovespa,emerging,hmm_regime,0.01,4449,35,0.0079,0.01,-0.04028,0.1374,0.0309,0.0323,0.5671,coverage OK  | independence BAD | conditional BAD
Bovespa,emerging,student_t,0.01,4449,54,0.0121,0.01,-0.04071,0.1656,0.0004,0.0008,0.0549,coverage OK  | independence BAD | conditional BAD
Bovespa,emerging,fhs_garch,0.05,4449,227,0.051,0.05,-0.02354,0.755,0.8982,0.9447,0.4669,coverage OK  | independence OK  | conditional OK 
Bovespa,emerging,gaussian,0.05,4449,199,0.0447,0.05,-0.02578,0.1007,0.0002,0.0003,0.0,coverage OK  | independence BAD | conditional BAD
Bovespa,emerging,historical,0.05,4449,229,0.0515,0.05,-0.02406,0.6538,0.0003,0.0015,0.2912,coverage OK  | independence BAD | conditional BAD
Bovespa,emerging,hmm_regime,0.05,4449,160,0.036,0.05,-0.02687,0.0,0.1925,0.0,0.5051,coverage BAD | independence OK  | conditional BAD
Bovespa,emerging,student_t,0.05,4449,226,0.0508,0.05,-0.02387,0.8075,0.0001,0.0004,0.0982,coverage OK  | independence BAD | conditional BAD
JSE40,emerging,fhs_garch,0.01,4479,54,0.0121,0.01,-0.02914,0.1803,0.6847,0.3753,0.2006,coverage OK  | independence OK  | conditional OK 
JSE40,emerging,gaussian,0.01,4479,88,0.0196,0.01,-0.0286,0.0,0.1303,0.0,0.0,coverage BAD | independence OK  | conditional BAD
JSE40,emerging,historical,0.01,4479,59,0.0132,0.01,-0.03235,0.0419,0.0503,0.0186,0.0908,coverage BAD | independence OK  | conditional BAD
JSE40,emerging,hmm_regime,0.01,4479,48,0.0107,0.01,-0.03384,0.6337,0.0154,0.0473,0.215,coverage OK  | independence BAD | conditional BAD
JSE40,emerging,student_t,0.01,4479,60,0.0134,0.01,-0.03202,0.0299,0.0091,0.0032,0.0718,coverage BAD | independence BAD | conditional BAD
JSE40,emerging,fhs_garch,0.05,4479,233,0.052,0.05,-0.0194,0.5375,0.0523,0.1259,0.122,coverage OK  | independence OK  | conditional OK 
JSE40,emerging,gaussian,0.05,4479,223,0.0498,0.05,-0.02011,0.948,0.0222,0.0731,0.0,coverage OK  | independence BAD | conditional OK 
JSE40,emerging,historical,0.05,4479,238,0.0531,0.05,-0.01947,0.3401,0.0769,0.1327,0.2073,coverage OK  | independence OK  | conditional OK 
JSE40,emerging,hmm_regime,0.05,4479,179,0.04,0.05,-0.02242,0.0014,0.0393,0.0007,0.0788,coverage BAD | independence BAD | conditional BAD
JSE40,emerging,student_t,0.05,4479,247,0.0551,0.05,-0.01914,0.1198,0.1432,0.1021,0.0723,coverage OK  | independence OK  | conditional OK 
