market,group,alpha,model_a,model_b,loss_a,loss_b,dm_stat,p,winner
Sensex,emerging,0.05,student_t,hmm_regime,0.001383,0.001345,1.467,0.1426,tie
Sensex,emerging,0.05,fhs_garch,hmm_regime,0.00124,0.001345,-4.956,0.0,fhs_garch
Sensex,emerging,0.01,gaussian,historical,0.000466,0.00047,-0.505,0.6136,tie
Sensex,emerging,0.01,gaussian,student_t,0.000466,0.00046,0.776,0.4376,tie
Sensex,emerging,0.01,gaussian,fhs_garch,0.000466,0.000363,3.094,0.002,fhs_garch
Sensex,emerging,0.01,gaussian,hmm_regime,0.000466,0.000429,1.704,0.0884,tie
Sensex,emerging,0.01,historical,student_t,0.00047,0.00046,1.63,0.1033,tie
Sensex,emerging,0.01,historical,fhs_garch,0.00047,0.000363,3.388,0.0007,fhs_garch
Sensex,emerging,0.01,historical,hmm_regime,0.00047,0.000429,2.01,0.0445,hmm_regime
Sensex,emerging,0.01,student_t,fhs_garch,0.00046,0.000363,3.155,0.0016,fhs_garch
Sensex,emerging,0.01,student_t,hmm_regime,0.00046,0.000429,1.589,0.1121,tie
Sensex,emerging,0.01,fhs_garch,hmm_regime,0.000363,0.000429,-2.984,0.0029,fhs_garch
Bovespa,emerging,0.05,gaussian,historical,0.001847,0.001809,4.587,0.0,historical
Bovespa,emerging,0.05,gaussian,student_t,0.001847,0.001825,2.655,0.008,student_t
Bovespa,emerging,0.05,gaussian,fhs_garch,0.001847,0.001612,4.994,0.0,fhs_garch
Bovespa,emerging,0.05,gaussian,hmm_regime,0.001847,0.001719,3.074,0.0021,hmm_regime
Bovespa,emerging,0.05,historical,student_t,0.001809,0.001825,-2.65,0.0081,historical
Bovespa,emerging,0.05,historical,fhs_garch,0.001809,0.001612,4.112,0.0,fhs_garch
Bovespa,emerging,0.05,historical,hmm_regime,0.001809,0.001719,2.089,0.0367,hmm_regime
Bovespa,emerging,0.05,student_t,fhs_garch,0.001825,0.001612,4.232,0.0,fhs_garch
Bovespa,emerging,0.05,student_t,hmm_regime,0.001825,0.001719,2.352,0.0187,hmm_regime
Bovespa,emerging,0.05,fhs_garch,hmm_regime,0.001612,0.001719,-5.557,0.0,fhs_garch
Bovespa,emerging,0.01,gaussian,historical,0.000633,0.000633,0.016,0.987,tie
Bovespa,emerging,0.01,gaussian,student_t,0.000633,0.000633,0.101,0.9196,tie
Bovespa,emerging,0.01,gaussian,fhs_garch,0.000633,0.000473,3.509,0.0005,fhs_garch
Bovespa,emerging,0.01,gaussian,hmm_regime,0.000633,0.000511,2.886,0.0039,hmm_regime
Bovespa,emerging,0.01,historical,student_t,0.000633,0.000633,0.107,0.9151,tie
Bovespa,emerging,0.01,historical,fhs_garch,0.000633,0.000473,3.882,0.0001,fhs_garch
Bovespa,emerging,0.01,historical,hmm_regime,0.000633,0.000511,3.2,0.0014,hmm_regime
Bovespa,emerging,0.01,student_t,fhs_garch,0.000633,0.000473,3.703,0.0002,fhs_garch
Bovespa,emerging,0.01,student_t,hmm_regime,0.000633,0.000511,3.057,0.0023,hmm_regime
Bovespa,emerging,0.01,fhs_garch,hmm_regime,0.000473,0.000511,-2.37,0.0178,fhs_garch
JSE40,emerging,0.05,gaussian,historical,0.001468,0.001458,2.265,0.0235,historical
JSE40,emerging,0.05,gaussian,student_t,0.001468,0.001474,-1.281,0.2004,tie
JSE40,emerging,0.05,gaussian,fhs_garch,0.001468,0.001324,5.333,0.0,fhs_garch
JSE40,emerging,0.05,gaussian,hmm_regime,0.001468,0.001495,-2.143,0.0322,gaussian
JSE40,emerging,0.05,historical,student_t,0.001458,0.001474,-4.33,0.0,historical
JSE40,emerging,0.05,historical,fhs_garch,0.001458,0.001324,4.894,0.0,fhs_garch
JSE40,emerging,0.05,historical,hmm_regime,0.001458,0.001495,-2.863,0.0042,historical
JSE40,emerging,0.05,student_t,fhs_garch,0.001474,0.001324,5.203,0.0,fhs_garch
JSE40,emerging,0.05,student_t,hmm_regime,0.001474,0.001495,-1.495,0.1349,tie
JSE40,emerging,0.05,fhs_garch,hmm_regime,0.001324,0.001495,-6.869,0.0,fhs_garch
JSE40,emerging,0.01,gaussian,historical,0.00049,0.000474,2.037,0.0417,historical
JSE40,emerging,0.01,gaussian,student_t,0.00049,0.00048,1.746,0.0808,tie
JSE40,emerging,0.01,gaussian,fhs_garch,0.00049,0.000382,4.25,0.0,fhs_garch
JSE40,emerging,0.01,gaussian,hmm_regime,0.00049,0.000469,1.988,0.0468,hmm_regime
JSE40,emerging,0.01,historical,student_t,0.000474,0.00048,-1.516,0.1295,tie
JSE40,emerging,0.01,historical,fhs_garch,0.000474,0.000382,4.319,0.0,fhs_garch
JSE40,emerging,0.01,historical,hmm_regime,0.000474,0.000469,0.738,0.4608,tie
JSE40,emerging,0.01,student_t,fhs_garch,0.00048,0.000382,4.385,0.0,fhs_garch
JSE40,emerging,0.01,student_t,hmm_regime,0.00048,0.000469,1.678,0.0935,tie
JSE40,emerging,0.01,fhs_garch,hmm_regime,0.000382,0.000469,-3.963,0.0001,fhs_garch
